Student_ID,Hours_Study,Sleep_Hours,Screen_Time,Attendance,Extracurricular,Stress_Level,CGPA
S9575,4.811648173,7.023379253,4.994795252,79.87346126,No,Low,5.74983694
S4742,4.643357083,5.902211185,4.275331083,60.85418035,No,Medium,8.020313492
S7231,3.27285341,7.023379253,4.994795252,79.87346126,No,Medium,8.937844688
S6723,2.792323405,6.329909701,3.066619782,73.63649273,No,Low,6.927904399
S9987,2.771712938,7.811576476,4.567633072,86.97998444,No,Medium,5.095918497
S7522,3.262761268,7.528017387,9.754448585,95.27538858,Yes,Medium,6.674665841
S4149,2.206715545,6.313274546,7.755154672,88.75024502,No,Medium,6.411584121
S3876,2.12698725,7.023379253,4.994795252,79.87346126,No,Medium,6.654334145
S6914,3.530151457,7.30138856,3.856348429,77.3814529,Yes,Medium,7.518460596
S8744,4.771421681,8.87959559,1.873173055,71.56460761,No,Medium,7.722944165
S6700,3.949011743,7.477238991,5.859539244,90.23132423,No,Medium,5.191152157
S5689,3.034180321,6.175668406,5.848582265,75.3380205,Yes,Low,9.64145688
S2780,1.187365073,6.88022627,7.013767157,90.42293474,No,Low,6.82587975
S9904,3.152332924,5.850879316,3.884585037,68.92067873,Yes,High,8.043368509
S5359,5.360440721,5.603252109,7.28103267,78.40747693,No,Medium,6.84428544
S8732,3.191685681,7.294408508,5.410801545,57.80686287,Yes,Medium,6.683645525
S4794,4.015760369,5.79816946,4.195032634,87.68736652,No,Medium,8.077343859
S4370,3.845113079,6.662619654,7.67140279,76.8230861,No,Medium,6.552268521
S7013,6.188359095,6.141287464,5.113743901,80.48256257,No,Medium,5.112161186
S6803,7.637797064,5.860522359,6.090352351,80.8502459,Yes,Medium,7.760567368
S9778,6.314489095,6.663167438,4.179675554,99.49098076,Yes,Medium,6.81205708
S10077,1.690731323,8.688895496,3.914848178,82.3633301,Yes,High,7.038531509
S4053,2.432492958,10.2504389,4.83876727,77.63100846,No,Low,4.620098992
S4288,2.744532188,6.00709723,5.594002589,72.40005472,Yes,High,8.282989763
S3589,3.872950851,7.758083518,7.459563054,73.3049644,No,Low,7.437688399
S9057,3.423687939,5.107183835,4.854875869,57.72353877,Yes,High,5.231223602
S5587,5.837829709,6.285973379,5.228759521,73.66305229,No,High,6.282675097
S1033,1.884578142,7.023379253,4.994795252,79.87346126,Yes,High,4.767867735
S7388,5.685027793,7.776636724,4.412808091,80.09701292,No,High,5.619401243
S8194,5.494889943,5.491457369,1.452050141,75.31189281,No,Low,8.486599882
S9377,2.143468323,6.251531885,4.999161592,93.26115628,Yes,Medium,6.860158751
S5816,6.64082802,4.207729959,4.948649479,79.20771223,No,Low,7.01549507
S1900,4.737346618,5.610230118,5.149128124,79.42078797,Yes,High,7.614056638
S1765,2.59364715,7.023379253,4.994795252,79.87346126,No,High,8.845965434
S8550,4.684212079,7.059193299,2.733607974,81.77353658,No,Medium,7.011875536
S1733,0.594832792,7.023379253,4.994795252,79.87346126,Yes,Medium,5.377303279
S6909,2.19724864,6.775478578,2.871338575,80.47753309,No,Medium,8.351682128
S1568,0.258416158,7.023379253,4.994795252,79.87346126,No,Low,9.919610145
